species,family,code.plant,class,Native.sp
Beta macrocarpa,Amaranthaceae,BEMA,Forb,Native Annual Forb
Chamaemelum fuscatum,Asteraceae,CHFU,Forb,Native Annual Forb
Chamaemelum mixtum,Asteraceae,CHMI,Forb,Native Annual Forb
Centaurium tenuiflorum,Gentianaceae,CETE,Forb,Native Annual Forb
Coronopus squamatus,Brassicaceae,COSQ,Forb,Native Annual Forb
Frankenia pulverulenta,Frankeniaceae,FRPU,Forb,Native Annual Forb
Hordeum marinum,Poaceae,HOMA,Grass,Native Annual Grass
Leontodon maroccanus,Asteraceae,LEMA,Forb,Native Annual Forb
Lythrum tribracteatum,Lythraceae,LYTR,Forb,Native Annual Forb
Melilotus sp,Fabaceae,MESP,Forb,Native Annual Forb
Melilotus elengans,Fabaceae,MEEL,Forb,Native Annual Forb
Melilotus sulcatus,Fabaceae,MESU,Forb,Native Annual Forb
Plantago coronopus,Plantaginaceae,PLCO,Forb,Native Annual Forb
Polypogon monspeliensis,Poaceae,POMO,Grass,Native Annual Grass
Polypogon martinus,Poacea,POMA,Grass,Native Annual Grass
Pulicaria paludosa,Asteraceae,PUPA,Forb,Native Annual Forb
Parapholis incurva,Poacea,PAIN,Grass,Native Annual Grass
Salsola soda,Amaranthaceae,SASO,Forb,Native Annual Forb
Scorzonera laciniata,Asteraceae,SCLA,Forb,Native Annual Forb
Spergularia rubra,Caryophyllaceae,SPRU,Forb,Native Annual Forb
Sonchus asper,Asteraceae,SOAS,Forb,Native Annual Forb
Suaeda splendens,Amaranthaceae,SUSP,Forb,Native Annual Forb
Ranunculus peltatus,Ranunculuc,RAPE,Forb,Native Annual Forb