focal,complexity,year,Prelim,Final,Parameters
LEMA,1,2019,1,1,1
LEMA,1,2020,1,1,1
LEMA,1,2021,1,1,1
LEMA,2,2019,1,1,1
LEMA,2,2020,1,1,1
LEMA,2,2021,1,1,1
LEMA,3,2019,1,1,1
LEMA,3,2020,1,1,1
LEMA,3,2021,1,1,1
CHFU,1,2019,1,1,1
CHFU,1,2020,1,1,1
CHFU,1,2021,1,1,1
CHFU,2,2019,1,1,1
CHFU,2,2020,1,1,1
CHFU,2,2021,1,1,1
CHFU,3,2019,1,1,1
CHFU,3,2020,1,1,1
CHFU,3,2021,1,1,1
CETE,1,2019,1,1,1
CETE,1,2020,1,1,1
CETE,1,2021,1,1,1
CETE,2,2019,1,1,1
CETE,2,2020,1,1,1
CETE,2,2021,1,1,1
CETE,3,2019,1,1,1
CETE,3,2020,1,1,1
CETE,3,2021,1,1,1
HOMA,1,2019,1,1,1
HOMA,1,2020,1,1,1
HOMA,1,2021,1,1,1
HOMA,2,2019,1,1,1
HOMA,2,2020,1,1,1
HOMA,2,2021,1,1,1
HOMA,3,2019,,,
HOMA,3,2020,,,
HOMA,3,2021,,,